"дата";"ссылка";"данные"
"2021-11-27 17:8:31";"https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_355m_718et._2157801091";"3В 700В 000, "
"2021-11-27 17:8:31";"https://daniel.haxx.se/blog/2020/03/01/imagining-a-thread-safe-curl_global_init/";"libcurl is thread-safe, But, curl_global_init, The problems, Third parties shaped up, we didn&#8217;t, Fix it!, Left to do until completely thread-safe, When?, Credits, "

"2021-11-27 17:8:34";"https://daniel.haxx.se/blog/2020/03/01/imagining-a-thread-safe-curl_global_init/";"libcurl is thread-safe, But, curl_global_init, The problems, Third parties shaped up, we didn&#8217;t, Fix it!, Left to do until completely thread-safe, When?, Credits, "
"2021-11-27 17:8:34";"https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_355m_718et._2157801091";"3В 700В 000, "

"2021-11-27 17:11:8";"https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_355m_718et._2157801091";"3700000, "
"2021-11-27 17:11:8";"https://daniel.haxx.se/blog/2020/03/01/imagining-a-thread-safe-curl_global_init/";"libcurl is thread-safe, But, curl_global_init, The problems, Third parties shaped up, we didn&#8217;t, Fix it!, Left to do until completely thread-safe, When?, Credits, "

"2021-11-27 17:11:9";"https://daniel.haxx.se/blog/2020/03/01/imagining-a-thread-safe-curl_global_init/";"libcurl is thread-safe, But, curl_global_init, The problems, Third parties shaped up, we didn&#8217;t, Fix it!, Left to do until completely thread-safe, When?, Credits, "
"2021-11-27 17:11:9";"https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_355m_718et._2157801091";"3700000, "

"2021-11-27 17:11:10";"https://daniel.haxx.se/blog/2020/03/01/imagining-a-thread-safe-curl_global_init/";"libcurl is thread-safe, But, curl_global_init, The problems, Third parties shaped up, we didn&#8217;t, Fix it!, Left to do until completely thread-safe, When?, Credits, "
"2021-11-27 17:11:10";"https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_355m_718et._2157801091";"3700000, "

"2021-11-27 17:11:11";"https://daniel.haxx.se/blog/2020/03/01/imagining-a-thread-safe-curl_global_init/";"libcurl is thread-safe, But, curl_global_init, The problems, Third parties shaped up, we didn&#8217;t, Fix it!, Left to do until completely thread-safe, When?, Credits, "
"2021-11-27 17:11:11";"https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_355m_718et._2157801091";"3700000, "

"2021-11-27 17:11:12";"https://daniel.haxx.se/blog/2020/03/01/imagining-a-thread-safe-curl_global_init/";"libcurl is thread-safe, But, curl_global_init, The problems, Third parties shaped up, we didn&#8217;t, Fix it!, Left to do until completely thread-safe, When?, Credits, "
"2021-11-27 17:11:13";"https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_355m_718et._2157801091";"3700000, "

"2021-11-27 17:11:14";"https://daniel.haxx.se/blog/2020/03/01/imagining-a-thread-safe-curl_global_init/";"libcurl is thread-safe, But, curl_global_init, The problems, Third parties shaped up, we didn&#8217;t, Fix it!, Left to do until completely thread-safe, When?, Credits, "
"2021-11-27 17:11:14";"https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_355m_718et._2157801091";"3700000, "

